iter	Passed	Remaining
0	107	10622
1	132	6484
2	162	5256
3	196	4714
4	238	4524
5	279	4375
6	314	4173
7	346	3981
8	378	3830
9	416	3745
10	447	3622
11	476	3497
12	509	3406
13	544	3344
14	573	3251
15	603	3169
16	636	3109
17	672	3062
18	708	3020
19	766	3067
20	801	3014
21	834	2958
22	873	2923
23	914	2897
24	943	2829
25	973	2771
26	1012	2738
27	1045	2688
28	1119	2739
29	1165	2719
30	1230	2739
31	1276	2712
32	1316	2673
33	1353	2626
34	1396	2593
35	1505	2676
36	1632	2779
37	1729	2822
38	1789	2798
39	1838	2757
40	1901	2735
41	1958	2705
42	2006	2659
43	2043	2600
44	2072	2532
45	2105	2471
46	2135	2407
47	2177	2359
48	2218	2309
49	2249	2249
50	2281	2191
51	2311	2133
52	2342	2077
53	2379	2026
54	2408	1970
55	2441	1918
56	2475	1867
57	2507	1815
58	2535	1762
59	2582	1721
60	2639	1687
61	2671	1637
62	2704	1588
63	2733	1537
64	2766	1489
65	2798	1441
66	2831	1394
67	2862	1346
68	2892	1299
69	2926	1254
70	2959	1208
71	2989	1162
72	3018	1116
73	3052	1072
74	3080	1026
75	3114	983
76	3157	943
77	3200	902
78	3231	859
79	3264	816
80	3293	772
81	3323	729
82	3352	686
83	3383	644
84	3410	601
85	3443	560
86	3473	519
87	3505	477
88	3537	437
89	3565	396
90	3596	355
91	3638	316
92	3697	278
93	3737	238
94	3767	198
95	3796	158
96	3825	118
97	3858	78
98	3887	39
99	3918	0
